x,time,y,z,x_coords,y_coords
0.0821018062397372,0.0,3.1262798634812285,1.5384615384615383,0,8.0
0.0821018062397372,0.0013966480446927,3.0716723549488054,1.5384615384615383,0,7.997207678883072
0.0755336617405583,0.0027932960893854,3.098976109215017,1.5384615384615383,0,7.994415357766143
0.0755336617405583,0.0041899441340782,3.0170648464163823,1.435897435897436,0,7.991623036649215
0.0788177339901477,0.0055865921787709,3.0716723549488054,1.641025641025641,0,7.988830715532286
0.0821018062397372,0.0069832402234636,3.0034129692832763,1.435897435897436,0,7.986038394415358
0.0755336617405583,0.0083798882681564,2.9761092150170647,1.5384615384615383,0,7.983246073298429
0.0788177339901477,0.0097765363128491,2.962457337883959,1.641025641025641,0,7.980453752181501
0.0788177339901477,0.0111731843575419,2.962457337883959,1.5384615384615383,0,7.977661431064573
0.0722495894909688,0.0125698324022346,2.89419795221843,1.641025641025641,0,7.974869109947644
0.0722495894909688,0.0139664804469273,2.9215017064846416,1.5384615384615383,0,7.972076788830716
0.0755336617405583,0.0153631284916201,2.907849829351536,1.641025641025641,0,7.969284467713787
0.0722495894909688,0.0167597765363128,2.907849829351536,1.5384615384615383,0,7.966492146596859
0.0755336617405583,0.0181564245810055,2.8668941979522184,1.641025641025641,0,7.96369982547993
0.0722495894909688,0.0195530726256983,2.825938566552901,1.641025641025641,0,7.960907504363002
0.0689655172413793,0.020949720670391,2.839590443686007,1.5384615384615383,0,7.958115183246074
0.0722495894909688,0.0223463687150838,2.8532423208191124,1.641025641025641,0,7.955322862129145
0.0689655172413793,0.0237430167597765,2.7986348122866893,1.5384615384615383,0,7.952530541012217
0.0722495894909688,0.0251396648044692,2.7849829351535837,1.7435897435897436,0,7.949738219895288
0.0623973727422003,0.026536312849162,2.8122866894197953,1.5384615384615383,0,7.94694589877836
0.0689655172413793,0.0279329608938547,2.7986348122866893,1.7435897435897436,0,7.944153577661431
0.0689655172413793,0.0293296089385474,2.7849829351535837,1.7435897435897436,0,7.941361256544503
